X,Y,LAT,LON,NAME,AUX1,DATETIME,ESPECIE,icon_url
-7.05906999994668,38.053700000963,"+4213551.485","+670292.0307",C01,16-MAR-14 20:29:39,"41714.8539237",VV,./0.png
-7.05763999994652,38.0543100009631,"+4213621.798","+670416.0917",C02,16-MAR-14 20:29:39,"41714.8539246",VV,./0.png
-7.07020999994795,38.0365200009608,"+4211624.691","+669354.1340",C03,16-MAR-14 20:29:39,"41714.8539255",VV,./0.png
-7.0381199999444,38.03399000096,"+4211402.899","+672176.4727",C04,16-MAR-14 20:29:39,"41714.8539264",VV,./0.png
-7.0443699999451,38.0372700009606,"+4211755.316","+671620.2572",C05,16-MAR-14 20:29:39,"41714.8539275",VV,./0.png
-6.99779999993941,38.0506200009618,"+4213323.776","+675675.5845",C02,16-MAR-14 20:32:00,"41714.8555639",VV,./0.png
-7.01302999994131,38.0548700009626,"+4213766.708","+674329.0692",C06,16-MAR-14 20:32:00,"41714.8555648",VV,./0.png
-7.01622999994153,38.0978800009686,"+4218533.511","+673946.3336",C01,12-MAR-14 19:22:30,"41710.8073029",MF,./0.png
-7.0160199999415,38.0981700009687,"+4218566.086","+673964.0613",C02,12-MAR-14 19:22:31,"41710.8073040",MF,./0.png
-7.01542999994142,38.0990200009688,"+4218661.516","+674013.7834",C03,12-MAR-14 19:22:31,"41710.8073049",NI,./0.png
-7.04068999994447,38.0877000009675,"+4217358.283","+671825.2045",C04,12-MAR-14 19:22:31,"41710.8073058",VV,./0.png
-7.03173999994344,38.085150000967,"+4217091.914","+672616.1638",C05,12-MAR-14 19:22:31,"41710.8073067",VV,./0.png
-7.00675999994045,38.0735500009651,"+4215851.403","+674834.7491",C07,12-MAR-14 19:22:31,"41710.8073086",MuStela sp.,./0.png
-7.00694999994048,38.073000000965,"+4215790.012","+674819.3916",C08,12-MAR-14 19:22:31,"41710.8073095",NI,./0.png
-7.00711999994051,38.0713400009648,"+4215605.483","+674808.4313",C09,12-MAR-14 19:22:31,"41710.8073104",NI,./0.png
-7.00739999994054,38.0708100009647,"+4215546.142","+674785.1301",C10,12-MAR-14 19:22:31,"41710.8073113",VV,./0.png
-7.00756999994057,38.0700800009646,"+4215464.814","+674771.9545",C11,12-MAR-14 19:22:31,"41710.8073123",VV,./0.png
-7.00843999994068,38.0688700009645,"+4215328.904","+674698.5115",C12,12-MAR-14 19:22:31,"41710.8073132",Mustela sp.,./0.png
-7.02471999994264,38.0775200009659,"+4216258.291","+673249.8867",C13,12-MAR-14 19:22:31,"41710.8073141",VV,./0.png
-7.02628999994284,38.0759200009657,"+4216077.812","+673115.9438",C14,12-MAR-14 19:22:32,"41710.8073150",MM,./0.png
-7.02657999994287,38.0760800009657,"+4216095.027","+673090.1279",C15,12-MAR-14 19:22:32,"41710.8073160",MF,./0.png
-7.02715999994294,38.0764300009658,"+4216132.785","+673038.4258",C16,12-MAR-14 19:22:32,"41710.8073170",VV,./0.png
-7.03520999994388,38.0764700009659,"+4216122.254","+672332.1968",C17,12-MAR-14 19:22:32,"41710.8073181",VV,./0.png
